ID	appareils_refrigerateur	appareils_machine_linge	appareils_seche_linge	appareils_lave_vaisselle	appareils_ordinateurs	nombre_voitures	travail_voiture	travail_moto	travail_transports_en_commun	travail_velo_marche	travail_train	transports_lents	transports_peu_accessibles	transports_peu_confortables	transports_peu_surs	transports_couteux	critere_origine	critere_biologique	achat_supermarche	achat_boutique	achat_reseaux_locaux	achat_marche	quotidien_lumieres	quotidien_machine_pleine	quotidien_lav_temperature	affirmations_terre_limitee	affirmations_env_modifiable	affirmations_desastre	affirmations_ingeniosite	affirmations_env_malmene	affirmations_droit	affirmations_crise_exageree	affirmations_crise_majeure	enjeu_climat	enjeu_air	enjeu_dechets	enjeu_eau	enjeu_disparition_especes	enjeu_pesticides	enjeu_centrales_nucleaires	enjeu_dechets_nucleaires	enjeu_ondes	actions_entreprises	actions_citoyens	actions_pouvoirs_publics	engagement_produits	engagement_impots	engagement_temps	politique_gauche_droite	habitat_TUU2014	demo_sexe	demo_diplome	demo_revenus	demo_age	ponderation
1310	2	1	1	2	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	1	2	1	4	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	3	2	3	2	2	3	77	2	0.969169036358622
1311	3	1	1	1	2	4	2	2	2	2	2	9	9	9	9	9	2	2	1	2	3	3	1	1	1	2	4	1	3	1	1	4	1	2	1	2	1	1	1	2	1	2	3	3	3	2	2	2	2	0	1	1	12	5	1.63193588263782
1312	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	3	3	1	1	1	2	4	1	4	2	1	3	2	2	1	2	1	1	1	1	2	1	3	2	3	4	4	2	3	2	1	1	77	1	1.3280855120746
1313	2	1	2	1	1	3	1	2	2	2	2	2	1	2	2	2	2	2	3	3	3	3	1	2	2	5	2	2	5	1	1	5	2	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	2	0	1	3	10	2	0.646659668251414
1314	3	1	1	1	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	3	2	2	1	1	4	2	2	2	1	2	2	1	1	1	2	3	3	3	2	2	2	3	5	2	4	13	2	1.70092418687716
1315	2	1	2	2	2	1	2	2	1	2	1	9	9	9	9	9	3	3	1	1	3	2	1	1	3	3	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	1	4	1	3	4	4	2	6	3	2	1	6	2	1.56397043868685
1316	3	1	2	1	6	4	2	2	2	2	2	9	9	9	9	9	1	3	2	1	3	2	1	1	1	2	4	1	5	2	1	4	1	2	2	2	1	1	1	1	1	1	3	3	3	2	3	1	11	0	1	1	10	5	1.07720435253334
1317	3	1	1	1	1	3	2	2	2	2	2	9	9	9	9	9	2	3	2	2	3	3	1	2	2	2	3	2	2	2	3	4	2	2	2	2	2	3	3	3	3	4	3	3	3	2	3	2	9	3	1	1	11	4	1.18259320626157
1318	2	1	2	1	1	3	2	2	2	2	2	2	1	2	2	2	2	3	3	3	4	4	1	1	1	5	3	2	5	2	2	5	2	3	2	2	2	2	5	3	3	3	3	3	3	3	4	2	6	0	2	1	77	2	0.44192710830984
1319	3	1	1	1	2	3	1	2	2	2	2	1	1	2	2	2	2	3	2	1	3	4	1	1	1	2	3	1	5	1	1	4	1	1	1	1	1	1	1	2	2	2	3	3	3	5	5	2	4	3	2	4	12	2	0.545184517480863
